No,Category,Guideline,Description,Do,Don't,Code Good,Code Bad,Severity,Docs URL
1,Components,Use Qt Quick Controls 2,Always use QQC2 controls for consistent native-looking UI,Use Qt Quick Controls 2 (Material / Universal / Fusion style),Roll your own primitive controls from scratch,import QtQuick.Controls 2.15 and use Button/TextField/ComboBox,Rectangle { MouseArea { } } as a fake button,High,https://doc.qt.io/qt-6/qtquickcontrols-index.html
2,Components,Keep QML components small,Single-responsibility principle for QML files,Split large QML files into focused reusable components,500+ line monolithic QML files,MyButton.qml with only button logic,One QML file with all screens and logic,Medium,https://doc.qt.io/qt-6/qtqml-documents-definetypes.html
3,Components,Use Loader for deferred loading,Defer creation of heavy components until needed,Loader with source or sourceComponent for off-screen content,Create all components eagerly at startup,"Loader { active: stackView.depth > 1; source: ""HeavyPage.qml"" }",All pages instantiated in Component.onCompleted,High,https://doc.qt.io/qt-6/qml-qtquick-loader.html
4,Components,Prefer declarative id references,Use id only within the same QML file scope,Use id for intra-file references; pass objects via properties,Access parent.parent.parent chains,Item { id: root }; use root.width inside same file,"parent.parent.children[2].visible = false",Medium,https://doc.qt.io/qt-6/qtqml-syntax-objectattributes.html
5,Components,Use required properties,Enforce required data at instantiation time,Mark mandatory properties with required keyword (Qt 5.15+),Use undefined checks at runtime,"required property string title",property string title // silently undefined if not set,High,https://doc.qt.io/qt-6/qml-qtquick-item.html#required-properties
6,Layout,Use Qt Quick Layouts,Anchor-free responsive layouts with ColumnLayout / RowLayout / GridLayout,Qt Quick Layouts for dynamic resizing and alignment,Manual x/y/width/height positioning for everything,ColumnLayout { spacing: 8; Layout.fillWidth: true },Item { x: 10; y: 20; width: 200 } hardcoded,High,https://doc.qt.io/qt-6/qtquicklayouts-index.html
7,Layout,Use anchors for single-item alignment,Anchors for positioning one item relative to its parent or sibling,anchors.fill: parent or anchors.centerIn: parent for simple placement,Mix anchors and Layout properties on the same item,anchors.left: parent.left; anchors.leftMargin: 16,x: parent.x + 16 hardcoded math,Medium,https://doc.qt.io/qt-6/qtquick-positioning-anchors.html
8,Layout,Use StackLayout for page stacks,Switch between full-screen views with StackLayout and currentIndex,StackLayout for tab-based or wizard-style navigation,Manual visible/opacity toggling on multiple items,"StackLayout { currentIndex: tabBar.currentIndex }","page1.visible = true; page2.visible = false",Medium,https://doc.qt.io/qt-6/qml-qtquick-layouts-stacklayout.html
9,Layout,Respect safe areas on mobile,Account for notch and system UI insets,Use SafeArea attached properties or Screen.desktopAvailableHeight,Fixed margins that hide under notch or navigation bar,topPadding: Screen.topInset; bottomPadding: Screen.bottomInset,Item { anchors.fill: parent } without inset compensation,High,https://doc.qt.io/qt-6/qml-qtquick-item.html#anchors-group
10,Layout,Use a spacing scale,Consistent spacing using a shared constants object,Define spacing tokens (4 / 8 / 16 / 24 / 32) in a singleton,Magic numbers scattered throughout QML files,"import ""../theme""; spacing: Theme.spacingMd","spacing: 13",Medium,
11,Styling,Use Qt Material / Universal style,Apply a coherent built-in style for all controls,Set QT_QUICK_CONTROLS_STYLE=Material or Universal at app start,Mix styles in the same app or override individual controls without plan,"QQuickStyle::setStyle(""Material"")",Manually recreating Material look with raw Rectangles,High,https://doc.qt.io/qt-6/qtquickcontrols2-material.html
12,Styling,Define theme in a singleton QML,Centralise colors fonts and sizes in a Theme singleton,Theme.qml with pragma Singleton for design tokens,Hardcode color strings or pixel values in every component,"import ""../theme""; color: Theme.primaryColor","color: ""#2563EB""",High,
13,Styling,Support dark mode via ColorScheme,Respond to system dark/light preference,Use Qt.colorScheme / palette to switch themes,Hardcode dark colors with no light variant,"Material.theme: Application.styleHints.colorScheme === Qt.Dark ? Material.Dark : Material.Light","if (darkMode) color = ""#000""",High,https://doc.qt.io/qt-6/qml-qtquick-colorgroup.html
14,Styling,Use SVG or Qt vector icons,Scale-independent icons that look crisp on HiDPI,Qt Quick's Image with SVG source or icon font (Material Icons),PNG raster icons that blur on HiDPI displays,"Image { source: ""icons/send.svg"", sourceSize: Qt.size(24, 24) }","Image { source: ""icons/send.png"" }",Medium,https://doc.qt.io/qt-6/qml-qtquick-image.html
15,Styling,Apply consistent corner radius,Corner radius from design tokens; avoid mixing sharp and rounded,Single cornerRadius token used everywhere,"Rectangle { radius: Theme.radiusMd }","radius: 3 vs radius: 8 vs radius: 0 across components",Low,
16,Navigation,Use StackView for hierarchical navigation,Push/pop page model for drill-down flows,StackView for master-detail and drill-down navigation,Swap visibility manually on multiple pages,"StackView { id: stackView; initialItem: HomePage {} }","homePage.visible = false; detailPage.visible = true",High,https://doc.qt.io/qt-6/qml-qtquick-controls2-stackview.html
17,Navigation,Use SwipeView + TabBar,Swipeable peer navigation with bottom or top tab bar,SwipeView with TabBar for top-level sections,Nested SwipeViews at the same hierarchy level,"SwipeView { id: swipeView }; TabBar { currentIndex: swipeView.currentIndex }",Multiple SwipeViews stacked inside each other,Medium,https://doc.qt.io/qt-6/qml-qtquick-controls2-swipeview.html
18,Navigation,Use Drawer for secondary navigation,Slide-in drawer for settings and secondary flows,Drawer for auxiliary navigation; keep primary nav in TabBar,Open drawer for primary actions,Drawer { id: navDrawer; width: 240; height: parent.height },Drawer used as main app navigation replacing TabBar,Medium,https://doc.qt.io/qt-6/qml-qtquick-controls2-drawer.html
19,Navigation,Handle back on Android/desktop,Intercept Escape / Android back key at the right scope,Keys.onBackPressed or ApplicationWindow close handler for back navigation,Let the OS close the window without prompt or cleanup,"Keys.onBackPressed: { event.accepted = true; stackView.pop() }",No back-key handling; app closes unexpectedly,High,https://doc.qt.io/qt-6/qml-qtquick-keys.html
20,Navigation,Breadcrumb trail for deep hierarchies,Show current location for 3+ level deep navigation,Use a breadcrumb strip or header title stack in StackView,Leave users disoriented with no location hint,StackView currentItem has title property shown in header; header shows back arrow + title,No visual indication of depth or current page,Medium,
21,Signals & Slots,Prefer signal/slot for C++↔QML communication,Decouple layers with signals and slots instead of direct calls,Expose C++ slots callable from QML; emit signals to notify QML,Directly manipulate QML objects from C++ via findChild,Q_INVOKABLE void saveData(); onDataSaved: console.log("saved"),QObject *btn = root->findChild<QObject*>("btn"); btn->setProperty("text" "OK"),High,https://doc.qt.io/qt-6/qtqml-cppintegration-interactqmlfromcpp.html
